計罰,總額預定,賠償,工期,延遲,心證,逾期,id,Target
0,0,2,1,0,0,8,322,compensatory
0,0,6,11,0,0,0,323,compensatory
0,0,12,0,0,0,1,324,punitive
0,0,6,6,0,0,1,325,compensatory
0,0,4,0,0,0,2,326,compensatory
8,0,6,17,4,1,129,327,compensatory
5,2,28,18,0,0,190,328,compensatory
0,5,12,10,0,0,34,329,punitive
4,0,1,107,0,0,32,330,compensatory
0,1,16,7,0,0,11,331,compensatory
12,0,14,0,0,1,17,332,compensatory
0,0,0,99,1,1,33,333,compensatory
0,0,8,0,0,0,3,334,compensatory
0,0,5,1,0,0,11,335,compensatory
1,0,3,4,0,0,1,336,punitive
0,0,29,0,0,0,1,337,compensatory
0,0,2,142,0,1,8,338,compensatory
0,5,5,2,0,0,44,339,compensatory
0,0,2,10,0,1,32,340,compensatory
0,0,17,167,7,1,17,341,compensatory
0,1,13,19,2,0,32,342,compensatory
0,0,29,0,0,0,0,343,compensatory
1,0,24,14,0,1,41,344,compensatory
0,0,18,15,0,0,41,345,compensatory
0,3,20,3,0,0,29,346,compensatory
0,2,32,29,1,0,31,347,compensatory
0,0,7,0,0,0,0,348,punitive
2,0,0,8,1,0,99,349,compensatory
0,0,16,3,4,1,0,350,compensatory
0,0,5,6,0,0,12,351,compensatory
0,0,13,1,0,0,15,352,punitive
0,0,8,113,0,1,19,353,compensatory
0,0,1,7,0,1,1,354,punitive
11,0,2,9,0,1,149,355,compensatory
0,0,4,5,0,0,0,356,compensatory
0,0,0,3,0,1,34,357,compensatory
0,0,3,17,0,1,22,358,compensatory
0,0,7,3,0,0,0,359,compensatory
0,0,0,0,0,0,1,360,punitive
0,0,3,1,0,0,2,361,punitive
0,0,10,9,0,1,3,362,punitive
8,0,10,21,0,0,33,363,compensatory
0,0,10,0,0,1,0,364,compensatory
2,0,12,10,2,0,18,365,compensatory
0,0,0,44,1,0,38,366,compensatory
3,0,8,3,0,1,0,367,compensatory
0,0,1,6,0,1,29,368,compensatory
0,0,3,2,0,1,4,369,compensatory
0,0,0,2,2,2,2,370,punitive
0,1,29,6,3,0,23,371,compensatory
0,0,19,0,0,1,30,372,punitive
1,0,3,181,0,1,15,373,compensatory
8,0,3,32,0,0,40,374,punitive
0,0,20,28,0,1,21,375,compensatory
1,0,33,1,0,0,0,376,compensatory
0,0,13,8,0,1,20,377,punitive
0,0,14,2,0,1,0,378,compensatory
11,2,4,11,0,0,34,379,compensatory
0,0,23,8,0,0,1,380,compensatory
0,0,22,10,0,0,1,381,compensatory
2,0,9,0,0,0,1,382,punitive
13,0,0,8,1,0,57,383,notdefine
2,0,13,41,1,0,17,384,punitive
0,0,81,10,0,3,0,385,compensatory
0,0,1,2,9,2,0,386,punitive
3,0,1,0,2,1,1,387,compensatory
0,0,1,0,0,0,2,388,compensatory
2,1,8,10,0,0,19,389,compensatory
1,0,2,1,0,0,3,390,compensatory
0,0,1,0,0,0,1,391,compensatory
2,0,1,33,0,0,15,392,compensatory
0,0,19,41,0,1,1,393,compensatory
0,1,15,58,0,1,40,394,compensatory
0,0,0,2,0,0,2,395,punitive
1,0,1,3,0,0,1,396,compensatory
0,0,9,4,0,0,1,397,punitive
0,0,11,8,0,0,1,398,compensatory
0,2,7,0,0,0,0,399,punitive
0,1,22,28,0,1,27,400,compensatory
8,0,20,11,0,0,45,401,compensatory
0,1,22,8,0,0,61,402,compensatory
